Nx,Ny,shift,p_x,p_left,p_diag,x_length,left_length,diag_length,left_over_diag,triangle_slack
32,37,19,32,1184,148,1.0,0.02702702702702703,0.21621621621621623,0.125,-0.7567567567567568
32,37,20,32,296,1184,1.0,0.10810810810810811,0.02702702702702703,4.0,-0.8648648648648649
32,37,21,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,22,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
32,37,23,32,1184,296,1.0,0.02702702702702703,0.10810810810810811,0.25,-0.8648648648648649
32,37,24,32,148,1184,1.0,0.21621621621621623,0.02702702702702703,8.0,-0.7567567567567568
32,37,25,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,26,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
32,37,27,32,1184,37,1.0,0.02702702702702703,0.8648648648648649,0.03125,-0.10810810810810811
32,37,28,32,296,1184,1.0,0.10810810810810811,0.02702702702702703,4.0,-0.8648648648648649
32,37,29,32,1184,592,1.0,0.02702702702702703,0.05405405405405406,0.5,-0.9189189189189189
32,37,30,32,592,1184,1.0,0.05405405405405406,0.02702702702702703,2.0,-0.9189189189189189
32,37,31,32,1184,296,1.0,0.02702702702702703,0.10810810810810811,0.25,-0.8648648648648649
32,37,32,32,37,1184,1.0,0.8648648648648649,0.02702702702702703,32.0,-0.10810810810810811
32,38,0,32,38,608,1.0,0.8421052631578947,0.05263157894736842,16.0,-0.10526315789473695
32,38,1,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,2,32,608,152,1.0,0.05263157894736842,0.21052631578947367,0.25,-0.736842105263158
32,38,3,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,4,32,304,608,1.0,0.10526315789473684,0.05263157894736842,2.0,-0.8421052631578947
32,38,5,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,6,32,608,304,1.0,0.05263157894736842,0.10526315789473684,0.5,-0.8421052631578947
32,38,7,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,8,32,152,608,1.0,0.21052631578947367,0.05263157894736842,4.0,-0.736842105263158
32,38,9,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,10,32,608,76,1.0,0.05263157894736842,0.42105263157894735,0.125,-0.5263157894736843
32,38,11,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,12,32,304,608,1.0,0.10526315789473684,0.05263157894736842,2.0,-0.8421052631578947
32,38,13,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,14,32,608,304,1.0,0.05263157894736842,0.10526315789473684,0.5,-0.8421052631578947
32,38,15,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,16,32,76,608,1.0,0.42105263157894735,0.05263157894736842,8.0,-0.5263157894736843
32,38,17,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,18,32,608,152,1.0,0.05263157894736842,0.21052631578947367,0.25,-0.736842105263158
32,38,19,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,20,32,304,608,1.0,0.10526315789473684,0.05263157894736842,2.0,-0.8421052631578947
32,38,21,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,22,32,608,304,1.0,0.05263157894736842,0.10526315789473684,0.5,-0.8421052631578947
32,38,23,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,24,32,152,608,1.0,0.21052631578947367,0.05263157894736842,4.0,-0.736842105263158
32,38,25,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,26,32,608,38,1.0,0.05263157894736842,0.8421052631578947,0.0625,-0.10526315789473695
32,38,27,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,28,32,304,608,1.0,0.10526315789473684,0.05263157894736842,2.0,-0.8421052631578947
32,38,29,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,30,32,608,304,1.0,0.05263157894736842,0.10526315789473684,0.5,-0.8421052631578947
32,38,31,32,1216,1216,1.0,0.02631578947368421,0.02631578947368421,1.0,-0.9473684210526316
32,38,32,32,38,608,1.0,0.8421052631578947,0.05263157894736842,16.0,-0.10526315789473695
32,39,0,32,39,1248,1.0,0.8205128205128205,0.02564102564102564,32.0,-0.15384615384615385
32,39,1,32,1248,156,1.0,0.02564102564102564,0.20512820512820512,0.125,-0.7692307692307693
32,39,2,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,3,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,4,32,312,1248,1.0,0.10256410256410256,0.02564102564102564,4.0,-0.8717948717948718
32,39,5,32,1248,312,1.0,0.02564102564102564,0.10256410256410256,0.25,-0.8717948717948718
32,39,6,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,7,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,8,32,156,1248,1.0,0.20512820512820512,0.02564102564102564,8.0,-0.7692307692307693
32,39,9,32,1248,78,1.0,0.02564102564102564,0.41025641025641024,0.0625,-0.5641025641025641
32,39,10,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,11,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,12,32,312,1248,1.0,0.10256410256410256,0.02564102564102564,4.0,-0.8717948717948718
32,39,13,32,1248,312,1.0,0.02564102564102564,0.10256410256410256,0.25,-0.8717948717948718
32,39,14,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,15,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,16,32,78,1248,1.0,0.41025641025641024,0.02564102564102564,16.0,-0.5641025641025641
32,39,17,32,1248,156,1.0,0.02564102564102564,0.20512820512820512,0.125,-0.7692307692307693
32,39,18,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,19,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,20,32,312,1248,1.0,0.10256410256410256,0.02564102564102564,4.0,-0.8717948717948718
32,39,21,32,1248,312,1.0,0.02564102564102564,0.10256410256410256,0.25,-0.8717948717948718
32,39,22,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,23,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,24,32,156,1248,1.0,0.20512820512820512,0.02564102564102564,8.0,-0.7692307692307693
32,39,25,32,1248,39,1.0,0.02564102564102564,0.8205128205128205,0.03125,-0.15384615384615385
32,39,26,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,27,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,28,32,312,1248,1.0,0.10256410256410256,0.02564102564102564,4.0,-0.8717948717948718
32,39,29,32,1248,312,1.0,0.02564102564102564,0.10256410256410256,0.25,-0.8717948717948718
32,39,30,32,624,1248,1.0,0.05128205128205128,0.02564102564102564,2.0,-0.9230769230769231
32,39,31,32,1248,624,1.0,0.02564102564102564,0.05128205128205128,0.5,-0.9230769230769231
32,39,32,32,39,1248,1.0,0.8205128205128205,0.02564102564102564,32.0,-0.15384615384615385
32,40,0,32,40,160,1.0,0.8,0.2,4.0,0.0
32,40,1,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,2,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,3,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,4,32,320,320,1.0,0.1,0.1,1.0,-0.8
32,40,5,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,6,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,7,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,8,32,160,80,1.0,0.2,0.4,0.5,-0.3999999999999999
32,40,9,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,10,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,11,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,12,32,320,320,1.0,0.1,0.1,1.0,-0.8
32,40,13,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
32,40,14,32,640,640,1.0,0.05,0.05,1.0,-0.9
32,40,15,32,1280,1280,1.0,0.025,0.025,1.0,-0.95
