# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
197 6 -26 2.2930429687500001e-01 1.9316750409242901e-03 2.2930209756282807e-01 1.9320219593925078e-03
198 6 -25 2.2246835937500001e-01 1.9920601929260570e-03 2.2246616006282807e-01 1.9924290980844811e-03
199 6 -24 2.1676445312500001e-01 2.0419529961379843e-03 2.1676225381282807e-01 2.0423187257133297e-03
200 6 -23 2.1235507812500001e-01 2.0813361452492176e-03 2.1235287881282808e-01 2.0817100410679373e-03
201 6 -22 2.0889257812500001e-01 2.1147677188053872e-03 2.0889037881282807e-01 2.1151521115916035e-03
202 6 -21 2.0650781250000000e-01 2.1377018861964939e-03 2.0650561318782806e-01 2.1381013624779456e-03
203 6 -20 2.0513124999999999e-01 2.1498716147623645e-03 2.0512905068782805e-01 2.1502721239765217e-03
204 6 -19 2.0468359375000000e-01 2.1515094511519108e-03 2.0468139443782807e-01 2.1519185125363793e-03
205 6 -18 2.0539375000000001e-01 2.1464310486437785e-03 2.0539155068782808e-01 2.1468339518289641e-03
206 6 -17 2.0691289062500001e-01 2.1281883042242045e-03 2.0691069131282808e-01 2.1285829848090069e-03
207 6 -16 2.0930468750000000e-01 2.1053343373723665e-03 2.0930248818782807e-01 2.1057281673990146e-03
208 6 -15 2.1271992187500000e-01 2.0736521156612792e-03 2.1271772256282806e-01 2.0740543004954238e-03
209 6 -14 2.1686171874999999e-01 2.0354466580078229e-03 2.1685951943782805e-01 2.0358655648849912e-03
210 6 -13 2.2246523437499999e-01 1.9872125031560129e-03 2.2246303506282805e-01 1.9876292075051588e-03
211 6 -12 2.2940976562500001e-01 1.9340044563778617e-03 2.2940756631282808e-01 1.9344219389206634e-03
212 6 -11 2.3753437499999999e-01 1.8754176954018968e-03 2.3753217568782806e-01 1.8758729591696630e-03
213 6 -10 2.4713281249999999e-01 1.8069534965573142e-03 2.4713061318782806e-01 1.8074165448867040e-03
214 6 -9 2.5714687500000000e-01 1.7348251122006146e-03 2.5714467568782806e-01 1.7352923222462120e-03
215 6 -8 2.6848320312500001e-01 1.6592951420753980e-03 2.6848100381282808e-01 1.6597623517782092e-03
216 6 -7 2.8097734375000000e-01 1.5830266582777027e-03 2.8097514443782806e-01 1.5834753912667596e-03
217 6 -6 2.9362539062499998e-01 1.5114478330351649e-03 2.9362319131282805e-01 1.5118887088762618e-03
218 6 -5 3.0398085937500002e-01 1.4560449153920481e-03 3.0397866006282809e-01 1.4565119890781293e-03
219 6 -4 3.1126250000000000e-01 1.4172542738541353e-03 3.1126030068782806e-01 1.4177128241933238e-03
220 6 -3 3.1424570312500000e-01 1.4039426493818387e-03 3.1424350381282806e-01 1.4044002888168661e-03
221 6 -2 3.1150507812500000e-01 1.4206266132337183e-03 3.1150287881282807e-01 1.4210607766727665e-03
