lx,ly,theta_deg,lr,err_x,err_y,err_y_minus_x,err_total
1.0,0.2,135.0,1.1501489957716866,0.0,0.2541298444075467,0.22009408226577776,0.15807464222444148
1.0,0.2,136.0,1.1522742382503657,0.0,0.2541298444075467,0.21997525168842577,0.15803503203199085
1.0,0.2,137.0,1.1543576051846622,0.0,0.2541298444075467,0.2198586108670522,0.15799615175819962
1.0,0.2,138.0,1.1563986899815122,0.0,0.2541298444075467,0.21974419296214998,0.15795801245656557
1.0,0.2,139.0,1.1583970960292973,0.0,0.2541298444075467,0.21963203033945417,0.15792062491566697
1.0,0.2,140.0,1.1603524366534468,0.0,0.2541298444075467,0.2195221545701116,0.15788399965921943
1.0,0.2,141.0,1.1622643350730455,0.0,0.2541298444075467,0.21941459643109776,0.15784814694621482
1.0,0.2,142.0,1.1641324243584528,0.0,0.2541298444075467,0.21930938590586285,0.1578130767711365
1.0,0.2,143.0,1.1659563473899515,0.0,0.2541298444075467,0.21920655218518884,0.15777879886424517
1.0,0.2,144.0,1.1677357568174314,0.0,0.2541298444075467,0.21910612366823984,0.15774532269192884
1.0,0.2,145.0,1.1694703150211196,0.0,0.2541298444075467,0.21900812796378805,0.15771265745711158
1.0,0.2,146.0,1.1711596940733644,0.0,0.2541298444075467,0.21891259189159937,0.15768081209971538
1.0,0.2,147.0,1.1728035757014768,0.0,0.2541298444075467,0.21881954148396193,0.15764979529716955
1.0,0.2,148.0,1.1744016512516366,0.0,0.2541298444075467,0.21872900198734213,0.15761961546496295
1.0,0.2,149.0,1.1759536216538664,0.0,0.2541298444075467,0.21864099786415286,0.1575902807572332
1.0,0.2,150.0,1.1774591973880775,0.0,0.2541298444075467,0.21855555279461927,0.15756179906738865
1.0,0.2,151.0,1.1789180984511851,0.0,0.2541298444075467,0.21847268967872793,0.15753417802875821
1.0,0.2,152.0,1.1803300543253021,0.0,0.2541298444075467,0.218392430638246,0.15750742501526424
1.0,0.2,153.0,1.1816948039470037,0.0,0.2541298444075467,0.2183147970187966,0.15748154714211446
1.0,0.2,154.0,1.1830120956776675,0.0,0.2541298444075467,0.218239809391978,0.15745655126650823
1.0,0.2,155.0,1.1842816872748898,0.0,0.2541298444075467,0.21816748755751542,0.15743244398835404
1.0,0.2,156.0,1.1855033458649706,0.0,0.2541298444075467,0.21809785054543127,0.15740923165099266
1.0,0.2,157.0,1.186676847916473,0.0,0.2541298444075467,0.2180309166182257,0.15738692034192414
1.0,0.2,158.0,1.18780197921485,0.0,0.2541298444075467,0.21796670327305423,0.15736551589353365
1.0,0.2,159.0,1.1888785348381392,0.0,0.2541298444075467,0.2179052272438937,0.15734502388381347
1.0,0.2,160.0,1.1899063191337222,0.0,0.2541298444075467,0.21784650450368528,0.1573254496370773
1.0,0.21000000000000002,20.0,0.8058716394500544,0.0,0.24999599329000532,0.23602759338773333,0.16200786222591287
1.0,0.21000000000000002,21.0,0.8074628294052769,0.0,0.24999599329000532,0.23597595402463353,0.16199064910487962
1.0,0.21000000000000002,22.0,0.8091247005758441,0.0,0.24999599329000532,0.2359217226772754,0.16197257198909357
1.0,0.21000000000000002,23.0,0.8108563137510708,0.0,0.24999599329000532,0.23586489289417398,0.16195362872805977
1.0,0.21000000000000002,24.0,0.8126566973760246,0.0,0.24999599329000532,0.23580545875717185,0.16193381734905907
1.0,0.21000000000000002,25.0,0.8145248488809945,0.0,0.24999599329000532,0.23574341496848386,0.16191313608616306
1.0,0.21000000000000002,26.0,0.8164597360276561,0.0,0.24999599329000532,0.2356787569365862,0.16189158340886384
1.0,0.21000000000000002,27.0,0.8184602982679646,0.0,0.24999599329000532,0.23561148086053274,0.16186915805017935
1.0,0.21000000000000002,28.0,0.82052544811191,0.0,0.24999599329000532,0.23554158381229706,0.1618458590341008
1.0,0.21000000000000002,29.0,0.8226540725003759,0.0,0.24999599329000532,0.2354690638167663,0.16182168570225722
1.0,0.21000000000000002,30.0,0.8248450341794729,0.0,0.24999599329000532,0.23539391992903252,0.16179663773967928
1.0,0.21000000000000002,31.0,0.8270971730728578,0.0,0.24999599329000532,0.2353161523086576,0.1617707151995543
1.0,0.21000000000000002,32.0,0.8294093076487031,0.0,0.24999599329000532,0.23523576229061052,0.16174391852687195
1.0,0.21000000000000002,33.0,0.8317802362781421,0.0,0.24999599329000532,0.23515275245260808,0.16171624858087114
1.0,0.21000000000000002,34.0,0.8342087385821864,0.0,0.24999599329000532,0.23506712667861474,0.1616877066562067
1.0,0.21000000000000002,35.0,0.8366935767642916,0.0,0.24999599329000532,0.23497889021828935,0.1616582945027649
1.0,0.21000000000000002,36.0,0.8392334969259283,0.0,0.24999599329000532,0.23488804974219415,0.16162801434406648
1.0,0.21000000000000002,37.0,0.8418272303627016,0.0,0.24999599329000532,0.23479461339261026,0.1615968688942052
1.0,0.21000000000000002,38.0,0.8444734948387527,0.0,0.24999599329000532,0.23469859082983383,0.16156486137327972
1.0,0.21000000000000002,39.0,0.8471709958373648,0.0,0.24999599329000532,0.2345999932738539,0.16153199552128641
1.0,0.21000000000000002,40.0,0.8499184277858842,0.0,0.24999599329000532,0.23449883354134018,0.1614982756104485
1.0,0.21000000000000002,41.0,0.852714475253256,0.0,0.24999599329000532,0.23439512607789803,0.16146370645596778
1.0,0.21000000000000002,42.0,0.8555578141186571,0.0,0.24999599329000532,0.23428888698556913,0.1614282934251915
1.0,0.21000000000000002,43.0,0.858447112709891,0.0,0.24999599329000532,0.23418013404558427,0.16139204244519653
1.0,0.21000000000000002,44.0,0.8613810329103877,0.0,0.24999599329000532,0.23406888673639648,0.1613549600088006
1.0,0.21000000000000002,45.0,0.8643582312338155,0.0,0.24999599329000532,0.23395516624704293,0.1613170531790161
1.0,0.21000000000000002,46.0,0.8673773598654863,0.0,0.24999599329000532,0.233838995485907,0.16127832959197078
1.0,0.21000000000000002,47.0,0.8704370676698866,0.0,0.24999599329000532,0.23372039908496722,0.16123879745832417
1.0,0.21000000000000002,48.0,0.8735360011638214,0.0,0.24999599329000532,0.23359940339964042,0.16119846556321524
1.0,0.21000000000000002,49.0,0.8766728054547985,0.0,0.24999599329000532,0.2334760365043387,0.16115734326478134
1.0,0.21000000000000002,50.0,0.8798461251444217,0.0,0.24999599329000532,0.2333503281838762,0.16111544049129384
1.0,0.21000000000000002,51.0,0.8830546051966822,0.0,0.24999599329000532,0.233222309920873,0.16107276773695944
