tau_real	tau_imag	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.4226666667	0.7726920705	0.8740168652	0.8911985632	0.8372537858	0.9807206848	0.9394694071	-0.0223965091	-0.0029289242	-0.0131297659	-0.0194675849	-0.0102008418	0.0005016036	0.0000085786	0.0001723908	0.0003789869	0.0001040572	0.0006825730	0.0004830440	0.0011656170
0.4226666667	0.7793587371	0.8749695894	0.8912908521	0.8377838889	0.9816880622	0.9399668885	-0.0213070504	-0.0028253737	-0.0124968212	-0.0184816767	-0.0096714475	0.0004539904	0.0000079827	0.0001561705	0.0003415724	0.0000935369	0.0006181437	0.0004351093	0.0010532529
0.4226666667	0.7860254038	0.8759214392	0.8913824023	0.8383126277	0.9826550725	0.9404635155	-0.0202197755	-0.0027226625	-0.0118659043	-0.0174971130	-0.0091432418	0.0004088393	0.0000074129	0.0001407997	0.0003061490	0.0000835989	0.0005570519	0.0003897478	0.0009467997
0.4226666667	0.7926920705	0.8768723015	0.8914731507	0.8388397923	0.9836216613	0.9409591210	-0.0191348078	-0.0026208613	-0.0112372619	-0.0165139464	-0.0086164005	0.0003661409	0.0000068689	0.0001262761	0.0002727104	0.0000742424	0.0004992858	0.0003469528	0.0008462386
0.4226666667	0.7993587371	0.8778220703	0.8915630357	0.8393651826	0.9845877803	0.9414535472	-0.0180522615	-0.0025200389	-0.0106111282	-0.0155322226	-0.0080910893	0.0003258841	0.0000063506	0.0001125960	0.0002412499	0.0000654657	0.0004448308	0.0003067157	0.0007515465
0.4226666667	0.8060254038	0.8787706469	0.8916519979	0.8398886080	0.9855533875	0.9419466451	-0.0169722425	-0.0024202617	-0.0099877258	-0.0145519809	-0.0075674642	0.0002880570	0.0000058577	0.0000997547	0.0002117601	0.0000572665	0.0003936694	0.0002690267	0.0006626960
0.4226666667	0.8126920705	0.8797179393	0.8917399794	0.8404098871	0.9865184466	0.9424382740	-0.0158948486	-0.0023215940	-0.0093672657	-0.0135732546	-0.0070456717	0.0002526462	0.0000053898	0.0000877457	0.0001842332	0.0000496415	0.0003457817	0.0002338747	0.0005796564
0.4226666667	0.8193587371	0.8806638619	0.8918269246	0.8409288473	0.9874829270	0.9429283016	-0.0148201696	-0.0022240982	-0.0087499478	-0.0125960714	-0.0065258496	0.0002196374	0.0000049466	0.0000765616	0.0001586610	0.0000425867	0.0003011456	0.0002012477	0.0005023934
0.4226666667	0.8260254038	0.8816083351	0.8919127791	0.8414453242	0.9884468030	0.9434166030	-0.0137482883	-0.0021278346	-0.0081359620	-0.0116204537	-0.0060081273	0.0001890154	0.0000045277	0.0000661939	0.0001350349	0.0000360976	0.0002597370	0.0001711325	0.0004308695
0.4226666667	0.8326920705	0.8825512853	0.8919974907	0.8419591617	0.9894100539	0.9439030608	-0.0126792804	-0.0020328617	-0.0075254878	-0.0106464187	-0.0054926261	0.0001607642	0.0000041325	0.0000566330	0.0001133462	0.0000301689	0.0002215296	0.0001435152	0.0003650448
0.4226666667	0.8393587371	0.8834926444	0.8920810085	0.8424702111	0.9903726635	0.9443875646	-0.0116132149	-0.0019392360	-0.0069186955	-0.0096739789	-0.0049794595	0.0001348668	0.0000037606	0.0000478683	0.0000935859	0.0000247950	0.0001864957	0.0001183809	0.0003048766
0.4226666667	0.8460254038	0.8844323497	0.8921632835	0.8429783314	0.9913346200	0.9448700109	-0.0105501548	-0.0018470121	-0.0063157458	-0.0087031427	-0.0044687337	0.0001113058	0.0000034115	0.0000398886	0.0000757447	0.0000199696	0.0001546059	0.0000957143	0.0002503201
0.4226666667	0.8526920705	0.8853703433	0.8922442682	0.8434833885	0.9922959159	0.9453503022	-0.0094901567	-0.0017562428	-0.0057167910	-0.0077339139	-0.0039605482	0.0000900631	0.0000030844	0.0000326817	0.0000598134	0.0000156859	0.0001258292	0.0000754994	0.0002013285
0.4226666667	0.8593587371	0.8863065723	0.8923239165	0.8439852553	0.9932565472	0.9458283474	-0.0084332721	-0.0016669794	-0.0051219749	-0.0067662926	-0.0034549955	0.0000711201	0.0000027788	0.0000262346	0.0000457827	0.0000119370	0.0001001335	0.0000577197	0.0001578532
