r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
5.2044129872	5.4909195737	0.1412720475	0.9626703799	0.0731142450	0.8424037122	0.8741027448	1.4250861966	0.8857200581	0.8900211268	0.8457853674	0.9951674532	0.9502980794	0.0413444435	0.0037336306	0.0260344520	0.0376108129	0.0223008214	0.0017093630	0.0000139400	0.0006777927	0.0014145732	0.0004973266	0.0024010957	0.0019118999	0.0043129956
5.2044129872	5.5889717089	0.1388902770	0.9541047755	0.0725310064	0.8365843026	0.8787679408	1.4262404102	0.8841718791	0.8899005609	0.8449803314	0.9935625596	0.9495221922	0.0395949815	0.0035981573	0.0250821780	0.0359968242	0.0214840207	0.0015677626	0.0000129467	0.0006291157	0.0012957714	0.0004615631	0.0022098250	0.0017573345	0.0039671594
5.2044129872	5.6870238442	0.1365795533	0.9457337040	0.0719595804	0.8308650072	0.8833562113	1.4273714351	0.8826432695	0.8897786540	0.8441739061	0.9919807196	0.9487459632	0.0378646250	0.0034611585	0.0241273506	0.0344034665	0.0206661920	0.0014337298	0.0000119796	0.0005821290	0.0011835985	0.0004270915	0.0020278385	0.0016106900	0.0036385285
5.2044129872	5.7850759794	0.1343368112	0.9375499708	0.0713995745	0.8252430008	0.8878696174	1.4284800354	0.8811334377	0.8896555654	0.8433661865	0.9904208684	0.9479693257	0.0361525805	0.0033228128	0.0231700760	0.0328297677	0.0198472631	0.0013070091	0.0000110411	0.0005368524	0.0010777936	0.0003939139	0.0018549026	0.0014717075	0.0033266101
5.2044129872	5.8831281147	0.1321591585	0.9295467481	0.0708506145	0.8197155703	0.8923101432	1.4295669400	0.8796416343	0.8895314413	0.8425572584	0.9888820039	0.9471922174	0.0344580951	0.0031832839	0.0222104497	0.0312748113	0.0190271659	0.0011873603	0.0000101333	0.0004933041	0.0009781138	0.0003620330	0.0016907977	0.0013401469	0.0030309446
5.2044129872	5.9811802499	0.1300438640	0.9217175514	0.0703123430	0.8142801090	0.8966796995	1.4306328451	0.8781671488	0.8894064157	0.8417471990	0.9873631821	0.9464145796	0.0327804544	0.0030427217	0.0212485578	0.0297377327	0.0182058360	0.0010745582	0.0000092582	0.0004515012	0.0008843327	0.0003314525	0.0015353176	0.0012157852	0.0027511028
5.2044129872	6.0792323852	0.1279883460	0.9140562178	0.0697844191	0.8089341111	0.9009801271	1.4316784153	0.8767093075	0.8892806113	0.8409360780	0.9858635130	0.9456363575	0.0311189794	0.0029012641	0.0202844773	0.0282177153	0.0173832132	0.0009683909	0.0000084173	0.0004114600	0.0007962395	0.0003021761	0.0013882682	0.0010984156	0.0024866838
5.2044129872	6.1772845204	0.1259901628	0.9065568853	0.0692665167	0.8036751667	0.9052132005	1.4327042863	0.8752674708	0.8891541407	0.8401239584	0.9843821568	0.9448574999	0.0294730249	0.0027590373	0.0193182778	0.0267139876	0.0165592406	0.0008686592	0.0000076123	0.0003731959	0.0007136371	0.0002742084	0.0012494673	0.0009878456	0.0022373129
5.2044129872	6.2753366556	0.1240470031	0.8992139745	0.0687583243	0.7985009570	0.9093806306	1.4337110660	0.8738410311	0.8890271074	0.8393108969	0.9829183204	0.9440779589	0.0278419769	0.0026161572	0.0183500217	0.0252258197	0.0157338645	0.0007751757	0.0000068443	0.0003367233	0.0006363420	0.0002475545	0.0011187433	0.0008838965	0.0020026397
5.2044129872	6.3733887909	0.1221566774	0.8920221714	0.0682595435	0.7934092498	0.9134840677	1.4346993360	0.8724294113	0.8888996062	0.8384969449	0.9814712542	0.9432976898	0.0262252513	0.0024727304	0.0173797651	0.0237525209	0.0149070348	0.0006877638	0.0000061144	0.0003020562	0.0005641822	0.0002222197	0.0009959344	0.0007864019	0.0017823364
