# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
161 10 -14 2.7658031249999998e-01 1.0569597807056318e-03 2.7657893407724610e-01 1.0569686393797945e-03
162 10 -13 2.7808218750000002e-01 1.0467749870426053e-03 2.7808080907724614e-01 1.0467792571038134e-03
163 10 -12 2.7610781249999999e-01 1.0568502205246717e-03 2.7610643407724611e-01 1.0568580181126441e-03
164 10 -11 2.7163906249999997e-01 1.0834548329077555e-03 2.7163768407724609e-01 1.0834617636344798e-03
165 10 -10 2.6547999999999999e-01 1.1182469056518780e-03 2.6547862157724611e-01 1.1182602744632235e-03
166 10 -9 2.5887687500000001e-01 1.1467682163877699e-03 2.5887549657724612e-01 1.1467808538801487e-03
167 10 -8 2.5335031250000001e-01 1.1597435483617906e-03 2.5334893407724612e-01 1.1597615531021310e-03
168 10 -7 2.4958718750000000e-01 1.1621976294925260e-03 2.4958580907724609e-01 1.1622124949062411e-03
169 10 -6 2.4717406250000001e-01 1.1598358872923235e-03 2.4717268407724610e-01 1.1598499993004277e-03
170 10 -5 2.4631843749999999e-01 1.1585257654860000e-03 2.4631705907724608e-01 1.1585320857549980e-03
171 10 -4 2.4725531249999999e-01 1.1590802429477423e-03 2.4725393407724608e-01 1.1590895208056671e-03
172 10 -3 2.4974812499999999e-01 1.1611653547965025e-03 2.4974674657724608e-01 1.1611749674843817e-03
173 10 -2 2.5381124999999999e-01 1.1594251653432618e-03 2.5380987157724610e-01 1.1594341170035642e-03
174 10 -1 2.5929625000000001e-01 1.1473168907689586e-03 2.5929487157724612e-01 1.1473264661051054e-03
175 10 0 2.6564437499999999e-01 1.1186971846436763e-03 2.6564299657724610e-01 1.1187057694483091e-03
176 11 -15 2.9291656249999998e-01 1.0020616415270679e-03 2.9291518407724609e-01 1.0020629269153788e-03
177 11 -14 2.9872687500000000e-01 9.7901235959623476e-04 2.9872549657724612e-01 9.7901681596933646e-04
178 11 -13 2.9876187500000001e-01 9.7863120143887078e-04 2.9876049657724613e-01 9.7863718502844447e-04
179 11 -12 2.9277031250000002e-01 1.0021473251370261e-03 2.9276893407724613e-01 1.0021531492562603e-03
180 11 -11 2.8289406249999999e-01 1.0405336595414260e-03 2.8289268407724610e-01 1.0405493447419960e-03
181 11 -10 2.7192937499999997e-01 1.0826327950843664e-03 2.7192799657724609e-01 1.0826470985358042e-03
182 11 -9 2.6194531250000003e-01 1.1158763716936999e-03 2.6194393407724614e-01 1.1158914497321178e-03
183 11 -8 2.5421062500000002e-01 1.1389982846473857e-03 2.5420924657724614e-01 1.1390116965436282e-03
184 11 -7 2.4910656249999999e-01 1.1513529542379356e-03 2.4910518407724608e-01 1.1513628286729095e-03
185 11 -6 2.4655593749999999e-01 1.1578163272195517e-03 2.4655455907724608e-01 1.1578260599777095e-03
186 11 -5 2.4650000000000000e-01 1.1581696564515063e-03 2.4649862157724609e-01 1.1581735972983642e-03
187 11 -4 2.4916968749999999e-01 1.1513567831440421e-03 2.4916830907724608e-01 1.1513664367086647e-03
188 11 -3 2.5465593749999998e-01 1.1387157563791642e-03 2.5465455907724610e-01 1.1387269119397204e-03
189 11 -2 2.6207031250000001e-01 1.1173813724918618e-03 2.6206893407724613e-01 1.1173932518853300e-03
190 11 -1 2.7197562500000000e-01 1.0832680015200242e-03 2.7197424657724611e-01 1.0832812686542449e-03
191 11 0 2.8315625000000000e-01 1.0409132389847628e-03 2.8315487157724611e-01 1.0409188039209036e-03
192 12 -15 3.2542312499999998e-01 8.9893214283931792e-04 3.2542174657724610e-01 8.9893425653474050e-04
193 12 -14 3.3132125000000001e-01 8.8278765232288451e-04 3.3131987157724613e-01 8.8278885203409878e-04
194 12 -13 3.2550499999999999e-01 8.9932256247411040e-04 3.2550362157724611e-01 8.9932798978939173e-04
195 12 -12 3.1089875000000000e-01 9.4463539244316367e-04 3.1089737157724612e-01 9.4464706064927408e-04
